Name,FIDE ID,Title,Rating (Standard),Rating (Rapid),Rating (Blitz),Federation,Birth Year,Age,Last Rated Game,Games (12mo),Games (24mo),Years Since Last Game,Status,Plays Opens,Travel Range,Americas Experience,Chess960,Chess960 Notes,Crypto Connection,Crypto Notes,Content Creator,Social Handles,Schedule Conflicts,AI Summary,My Odds,My Notes
"So, Wesley",5202213,GM,2753,,,USA,1993,33,,,,,active,regularly,global,yes,yes,World Fischer Random Chess Championship 2019; FTX Crypto Cup,yes,"Participated in the FTX Crypto Cup, a bitcoin chess tournament, where he finished 5th. Has been involved in other crypto-related chess events",yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Wesley So is an active top-level professional player (rated 2753) who regularly competes in major international tournaments, including recent participation in the 2025 Sinquefield Cup and Chess Bundesliga 2024-25. However, his tournament activity appears focused on elite invitational events and major championships rather than open tournaments, and there is no evidence of him participating in smaller open events or traveling to Central America for competitions. Given his status as a world-class player who typically competes in high-profile tournaments, attendance at an open tournament in Honduras would be highly unlikely unless there were exceptional circumstances or significant appearance fees involved.",,
"Abdusattorov, Nodirbek",14204118,GM,2751,,,UZB,2004,22,,,,,active,regularly,global,yes,yes,2022 FIDE World Fischer Random Chess Championship; FIDE Freestyle Chess World Championship,yes,associated with cryptocurrency donations on his YouTube channel,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,Tata Steel 2026,"Based on the research, Nodirbek Abdusattorov is highly active in international chess competitions and travels globally for tournaments, having recently competed in New York, London, and Prague. However, he appears to focus primarily on elite invitational events like Masters tournaments and World Championships rather than open tournaments. Additionally, he has a confirmed commitment at Tata Steel 2026, which typically occurs in January-February, potentially creating a scheduling conflict with a February/March tournament in Honduras.",,
"Anand, Viswanathan",5000017,GM,2743,,,IND,1969,57,,,,,retired,occasionally,global,yes,yes,12-game Chess960 match against Garry Kasparov in 2025 at St. Louis Chess Club,yes,"Known for supporting Bitcoin and discussing cryptocurrency investments, with financial strategies considered influential as of 2026",yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,Tata Steel India Blitz and Rapid in early 2026 [CONFLICT],"Based on the search results, Viswanathan Anand is unlikely to attend an open chess tournament in Honduras in Feb/March 2026. He retired from competitive play in 2025 and typically participates in high-level invitational events like Grand Tour tournaments and Masters events rather than open tournaments. Additionally, he already has a scheduling conflict with the Tata Steel India Blitz and Rapid tournament in early 2026.",,
"Rapport, Richard",738590,GM,2738,,,HUN,1996,30,,,,,active,regularly,global,yes,unknown,,yes,"Has competed in chess tournaments where Bitcoin prizes were awarded, though achievements in chess are not directly linked to cryptocurrency",yes,Twitch: unknown handle but confirmed presence; YouTube: unknown handle but confirmed presence,,"Based on the search results, Richard Rapport is currently an active grandmaster ranked fifth globally who regularly participates in major open tournaments including the 2024 U.S. National Championships and 2025 Aeroflot Open, demonstrating a pattern of international travel for chess events. However, his recent tournament activity focuses on high-level events like Grand Chess Tour tournaments and serving as a second in World Championship matches, suggesting he may prioritize elite-level competitions. While no 2026 schedule conflicts were found in the research, his typical tournament pattern appears to favor major international events rather than smaller regional opens.",,
"Dominguez Perez, Leinier",3503240,GM,2738,,,USA,1983,43,,,,,active,regularly,global,yes,yes,2021 Champions Showdown Chess 9LX; Fischer Random World Chess Championship Qualifiers,no,No cryptocurrency or bitcoin connection found in the provided information,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Leinier Dominguez Perez is an active top-level grandmaster (rated 2738) who regularly participates in major international tournaments including recent events in 2024-2025 such as the Chess Olympiad in Budapest and Grand Chess Tour events. However, his tournament pattern appears focused on elite invitational events rather than open tournaments, and there is no evidence in the search results of him playing in open format competitions or having any connection to Central American chess events. Given his high rating and status as a former World Blitz Champion, his participation in an open tournament in Honduras would be unlikely unless there were significant appearance fees or special circumstances not evident in the available information.",,
"Vachier-Lagrave, Maxime",623539,GM,2734,,,FRA,1990,36,,,,,active,regularly,global,yes,yes,2018 Chess.com Chess960 Championship; Fischer Random Chess event hosted by Chessgames.com,yes,Has partnered with Immortal Game and endorsed cryptocurrency projects. Involved with FTX Crypto Cup. Views on Bitcoin have been mixed,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Maxime Vachier-Lagrave is an active French grandmaster (rated 2734) who regularly participates in international tournaments and has demonstrated global travel patterns, including recent participation in U.S. tournaments. However, as a top-tier elite player who ""consistently ranks among the world's elite,"" he typically competes in high-level international events, team leagues, and championship tournaments rather than open tournaments. While no specific 2026 conflicts were found, an open tournament in Honduras would be unusual for a player of his caliber, making attendance unlikely unless it offers significant prize money or special circumstances.",,
"Duda, Jan-Krzysztof",1170546,GM,2731,,,POL,1998,28,,,,,unknown,regularly,global,yes,yes,2019 FIDE World Fischer Random Chess Championship,yes,"participated in FTX Crypto Cup in 2022, tournament included cryptocurrency rewards including Bitcoin bonuses",yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the search results, Jan-Krzysztof Duda is currently an active grandmaster (rated 2731) who regularly participates in major international tournaments and has demonstrated willingness to travel globally, including to the Americas for events like the 2024 U.S. National Championships. However, the research indicates he has faced personal challenges in 2026 including thoughts of quitting chess, which could significantly impact his tournament participation. While he has the profile of a player who might consider international open tournaments, the mentioned personal struggles in 2026 create uncertainty about his actual attendance at any tournament during that period.",,
"Le, Quang Liem",12401137,GM,2731,,,VIE,1991,35,,,,,active,regularly,global,unknown,yes,Fischer Random Chess Championship knockout qualifier,yes,"Competed against Magnus Carlsen in the FTX Crypto Cup, a chess event with cryptocurrency prizes",yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Le Quang Liem is an active grandmaster (rated 2731) who regularly competes in international tournaments, including recent victories at the 2025 León Masters and upcoming participation in the 2025 FIDE World Cup and Prague International Chess Festival. While the search results show he travels globally for high-level tournaments and Masters events, there is no specific information about his participation in open tournaments or any scheduling conflicts for February/March 2026. His active international competition schedule suggests he could potentially attend such an event, though his typical participation appears to focus on invitation-based Masters tournaments rather than open events.",,
"Mamedyarov, Shakhriyar",13401319,GM,2730,,,AZE,1985,41,,,,,active,regularly,global,yes,yes,Champions Showdown 9LX in 2021; Saint Louis 9LX Chess,yes,competed in cryptocurrency-related events like the FTX Crypto Cup,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,German Bundesliga 2025/26,"Based on the research, Shakhriyar Mamedyarov is an active top-10 grandmaster who regularly participates in international tournaments and has demonstrated global travel patterns, including events in the Americas. However, as an elite player currently ranked 8th in the world, he typically competes in high-level FIDE events, Grand Prix tournaments, and invitation-only competitions rather than open tournaments. While he has commitments to the German Bundesliga 2025/26, his specific availability for February/March 2026 is unknown, making his attendance at an open tournament in Honduras unlikely given his typical tournament profile.",,
"Aronian, Levon",13300474,GM,2729,,,USA,1982,44,,,,,active,regularly,global,yes,yes,Chess960 World Championship; Freestyle Chess Grand Slam,yes,Participated in tournaments sponsored by cryptocurrency exchange FTX,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the search results, Levon Aronian is an active grandmaster who regularly participates in tournaments and has demonstrated global travel patterns, competing in events across the United States, South Africa, and Las Vegas in 2025. However, his recent tournament activity appears focused on high-profile rapid/blitz events and Freestyle Chess Grand Slam tournaments rather than traditional open tournaments. Given his current tournament preferences for premium events and lack of any indication he typically plays in smaller open tournaments, his attendance at an open tournament in Honduras would be unlikely unless there were significant appearance fees or special circumstances involved.",,
"Sindarov, Javokhir",14205483,GM,2726,,,UZB,2005,21,,,,,active,occasionally,global,unknown,yes,Freestyle Grand Slam Weissenhaus 2025; Fischer Random tournaments,yes,Associated with cryptocurrency markets on Polymarket,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,2026 Candidates Tournament; Tata Steel Chess Tournament 2026,"Based on the research, Sindarov is unlikely to attend an open tournament in Honduras in Feb/March 2026. He is committed to major elite events including the 2026 Candidates Tournament and Tata Steel Chess Tournament 2026, and his recent activity shows a preference for high-level competitions rather than open tournaments, having played only five tournaments in 2025 with a deliberately light schedule. As a top-rated player (2726) who recently won the 2025 World Cup, he appears focused on elite-level events rather than regional open tournaments.",,
"Niemann, Hans Moke",2093596,GM,2725,,,USA,2003,23,,,,,active,regularly,global,yes,yes,ChessKid Games 2019,yes,Competed against Magnus Carlsen in the 2022 FTX Crypto Chess Cup,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Hans Moke Niemann regularly participates in open tournaments, having won the GRENKE Open and Las Vegas Super Swiss in 2024, and continues active tournament play as of 2026. He demonstrates global travel patterns for chess competitions and maintains a high activity level in international events. However, no specific commitments or travel plans for February/March 2026 were found in the search results, making it impossible to definitively assess his likelihood of attending a tournament in Honduras during that timeframe.",,
"Nepomniachtchi, Ian",4168119,GM,2723,,,RUS,1990,36,,,,,active,regularly,global,unknown,yes,2019 FIDE World Fischer Random Chess Championship; 2022 semi-finals against Magnus Carlsen,yes,"Participated in FTX Crypto Cup, won third place earning $25,000 plus 0.25 Bitcoin. Tournament offered $100,000 Bitcoin prize.",yes,Twitch: unknown handle but has channel; YouTube: unknown handle but streams,currently competing in 2026,"Based on the research, Ian Nepomniachtchi is an active top-level grandmaster (World #4) who primarily competes in elite invitational events like the Candidates Tournament and World Championships rather than open tournaments. While he travels globally for competitions and is scheduled to remain active through 2026, his tournament pattern focuses on high-level closed events, making attendance at an open tournament in Honduras unlikely unless it offered significant prize money or had special significance. His status as a two-time World Championship finalist suggests he would typically prioritize more prestigious invitational events over open competitions.",,
"Yu, Yangyi",8603820,GM,2717,,,CHN,1994,32,,,,,active,regularly,global,yes,yes,ACCENTUS Chess960 tournament,no,No known connection to Bitcoin or cryptocurrency,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,unknown,"Based on the research, Yu Yangyi is an active grandmaster (rated 2717) who regularly participates in high-profile open tournaments globally, including recent events like the FIDE Grand Swiss and upcoming tournaments in the Americas such as the American Cup. Given his consistent tournament activity, willingness to travel internationally (including to locations like Sharjah and various American events), and pattern of competing in open tournaments, he would be a plausible candidate to attend an open tournament in Honduras in Feb/March 2026. However, no specific 2026 commitments were found that would definitively confirm or conflict with such participation.",,
Nihal Sarin,25092340,GM,2716,,,IND,2004,22,,,,,active,regularly,global,unknown,yes,Reykjavik Open Fischer Random Chess,no,No known connection between Nihal Sarin and Bitcoin or cryptocurrency,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,Tata Steel Chess India Rapid section winner in 2026,"Based on the search results, Nihal Sarin is highly active in international open tournaments, having won the President Cup in Tashkent and placed first at the Tashkent Open in 2025, demonstrating a pattern of competing in open events globally including in less common locations like Uzbekistan and Iceland. However, the search results indicate he won the Tata Steel Chess India Rapid section in 2026, which could potentially create scheduling conflicts with a February/March 2026 tournament in Honduras, though the exact dates of his commitments are not specified. His established pattern of international travel and regular participation in open tournaments suggests he would be a plausible participant if his schedule permits.",,
"Liang, Awonder",2056437,GM,2713,,,USA,2003,23,,,,,unknown,regularly,global,yes,unknown,,yes,Liang uses PayPal and crypto for donations,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the search results, Awonder Liang appears to be an active tournament player who regularly competes in various events including the U.S. Chess Championship and international tournaments like the Chennai Grand Masters 2025, demonstrating a willingness to travel globally for chess competitions. However, his tournament participation seems to focus primarily on higher-level events such as national championships and grand masters tournaments rather than typical open tournaments. Without specific information about his 2026 schedule or previous participation in Central American events, it's difficult to assess the likelihood of his attendance at an open tournament in Honduras, though his active status and international travel history suggest it's not impossible if the event offers appropriate conditions or incentives.",,
"Andreikin, Dmitry",4158814,GM,2710,,,FID,1990,36,,,,,retired,unknown,unknown,unknown,yes,,yes,participated in Bitcoin-related online chess qualifiers,yes,Twitch: inactive channel mentioned; YouTube: has YouTube videos with matches and highlights,most recent notable game was against Magnus Carlsen in 2026,"Based on the search results, Dmitry Andreikin's likelihood of attending an open tournament in Honduras in Feb/March 2026 appears very low. The information indicates he retired from competitive play in 2020, though there are conflicting reports of scheduled activity in 2025 and a notable game against Magnus Carlsen in 2026. No information was found about his history of playing open tournaments or traveling to Central America, and his current activity level remains unclear given the contradictory retirement status and recent tournament mentions.",,
"Maghsoodloo, Parham",12539929,GM,2708,,,IRI,2000,26,,,,,active,regularly,global,unknown,yes,FIDE World Fischer Random Chess Championship,yes,Has connections to cryptocurrency through sponsorships,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Parham Maghsoodloo appears to be an active player who regularly participates in international open tournaments, having recently won the 2025 Reykjavik Open and competed in other global events. His travel patterns show willingness to compete internationally in diverse locations including Iceland and Tunisia, suggesting he has a global tournament range. However, there is no specific information about his 2026 schedule or any previous activity in Central America, making it difficult to assess the likelihood of attendance at a Honduras tournament without additional factors such as prize fund, field strength, or scheduling conflicts.",,
"Vidit, Santosh Gujrathi",5029465,GM,2708,,,IND,1994,32,,,,,active,regularly,global,unknown,yes,World Fischer Random Chess Championship; Chess960 tournaments,yes,Participated in 2021 FTX Crypto Cup and known for involvement in cryptocurrency markets,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Vidit Gujrathi is an active grandmaster who regularly participates in major international tournaments, including recent victories at the Paris Freestyle (March 2025) and FIDE Grand Swiss (2025), demonstrating consistent global tournament activity. However, his typical tournament pattern appears focused on high-level events like the Candidates Tournament and prestigious opens rather than smaller regional tournaments. While he travels internationally for chess and remains active as of 2026, there are no specific scheduling conflicts identified, though an open tournament in Honduras would likely be outside his usual competitive tier.",,
"Fedoseev, Vladimir",24130737,GM,2705,,,SLO,1995,31,,,,,retired,regularly,global,yes,yes,2022 Fischer Random World Championship qualifier; European Fischer Random Championship 2024,no,He has no known association with Bitcoin or cryptocurrency. His main focus has been on competitive chess.,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,tactical game against Vincent Keymer at Tata Steel 2026,"Based on the search results, Vladimir Fedoseev is reportedly retired as of 2026, which would make his attendance at any tournament highly unlikely. While he previously competed at a high international level including events in the Americas (winning the 2024 U.S. National Championships), his typical tournament pattern focused on elite invitation-only events like the Grand Chess Tour rather than open tournaments. Given his retired status and historical preference for top-tier closed tournaments, participation in an open tournament in Honduras would be extremely improbable.",,
"Van Foreest, Jorden",1039784,GM,2703,,,NED,1999,27,,,,,active,regularly,continental,unknown,yes,Dutch Chess Championship 2016,no,There is no known connection between van Foreest and Bitcoin or cryptocurrency,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Jorden van Foreest is an active grandmaster (rated 2703) who regularly participates in major tournaments, but the search results show he typically competes in elite invitational events like the Tata Steel Masters and Grand Chess Tour rather than open tournaments. His documented travel appears to be within Europe (Oslo, London), and there is no indication in the search results of him playing in Central America or attending open format tournaments. Given his high ranking as the No. 2 Dutch player and focus on prestigious invitational events, attendance at an open tournament in Honduras would be unlikely based on his established tournament patterns.",,
"Aravindh, Chithambaram VR.",5072786,GM,2700,,,IND,1999,27,,,,,active,regularly,global,unknown,yes,Biel Chess Festival Chess960 events,no,No known connection to Bitcoin or cryptocurrency exists,yes,,,"Based on the search results, Aravindh Chithambaram VR is an active grandmaster (rated 2700, ranked #32 globally) who regularly competes in international open tournaments and has demonstrated a willingness to travel globally, with recent victories in Chennai, Prague, and participation in events like the Biel Chess Festival. However, there is no information about his 2026 schedule or any previous tournament activity in Central America or similar regions. While his active status and international tournament participation suggest he could potentially attend such an event, there are no specific indicators pointing toward likelihood of participation in Honduras specifically.",,
"Tabatabaei, M. Amin",12521213,GM,2700,,,IRI,2001,25,,,,,unknown,regularly,global,unknown,yes,Chess 960 (Fischer Random) tournaments; Freestyle Grandslam Chess 960 Germany 2025,no,No crypto or bitcoin connection found in the provided information,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, M. Amin Tabatabaei is an active Iranian grandmaster (rated 2700) who regularly participates in open tournaments including the 2025 FIDE Grand Swiss and won the 2019 Biel Master Open, indicating he does play open events. He has a global travel pattern through multiple Chess Olympiad representations and international tournament participation, suggesting he is willing to travel internationally for chess events. However, no information was found about previous play in the Americas or Central America specifically, making it uncertain whether he would attend a tournament in Honduras, though his active status and open tournament participation suggest it's not impossible.",,
"Esipenko, Andrey",24175439,GM,2698,,,RUS,2002,24,,,,,active,regularly,unknown,unknown,yes,World Fischer Random Chess Championship qualification; Fischer Random Chess matches including defeat of Anatoly Bykhovsky; Semifinals against Svidler,no,No known connection to Bitcoin or cryptocurrency,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the search results, Andrey Esipenko is currently active and regularly participates in open tournaments, having competed in the 2025 Aeroflot Open (placing third) and 2025 FIDE Grand Swiss, indicating he does play in open format events. However, the search results provide no information about his travel patterns to the Americas or smaller international tournaments, and there are no known commitments for 2026. While his participation in open tournaments suggests it's theoretically possible, there is insufficient data to assess the likelihood of him traveling to Honduras specifically for a tournament.",,
"Radjabov, Teimour",13400924,GM,2692,,,AZE,1987,39,,,,,retired,unknown,unknown,unknown,yes,Chess960 (Fischer Random) tournaments against top players like Anand,yes,"played in FTX Crypto Cup against Magnus Carlsen, considered a career in cryptocurrency, Bitcoin bonus was adjusted to 2.1825 BTC",yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the search results, Teimour Radjabov's attendance at an open tournament in Honduras in Feb/March 2026 appears highly unlikely. The information indicates he retired from chess in 2005 due to health issues, despite some conflicting data showing recent tournament participation through 2024-2025. Even if he were active, the search results provide no evidence of him playing in open tournaments or traveling to Central America, as his documented participation appears limited to top-tier invitational events like the Candidates Tournament.",,
"Yakubboev, Nodirbek",14203987,GM,2691,,,UZB,2002,24,,,,,active,regularly,global,unknown,yes,Chess 960 (Fischer Random) tournaments; rapid event at World Championships,no,No crypto/bitcoin connection found in search results,yes,Twitch: unknown handle; YouTube: unknown handle,,"Based on the research, Nodirbek Yakubboev is an active international chess grandmaster (rated 2691, ranked #36 globally) who regularly participates in open tournaments worldwide, including recent events like the Prague Chess Festival Challengers 2025, Tata Steel Chess Tournament, and FIDE World Championships. Given his global tournament activity and willingness to travel internationally for chess events, he would be a realistic candidate to attend an open tournament in Honduras in Feb/March 2026, though no specific 2026 commitments were found in the search results. His active status and pattern of participating in various international opens suggests he would likely consider such an invitation if the tournament offers appropriate conditions and prize fund.",,
"Sevian, Samuel",2040506,GM,2688,,,USA,2000,26,,,,,active,regularly,global,yes,yes,2023 Champions Showdown Chess 960; first-ever FIDE-sanctioned Fischer Random World Chess Championship,yes,"Participated in FTX-sponsored tournaments including Miami qualifiers and Road to Miami event, with Bitcoin prizes offered",yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Samuel Sevian is an active grandmaster who regularly participates in open tournaments including Masters events, US Championships, and international competitions like the 2025 Sharjah Masters, demonstrating a willingness to travel globally for chess events. His consistent tournament activity through 2024-2025 and history of competing in diverse locations suggests he maintains an active playing schedule. However, no specific information was found about his 2026 commitments or previous participation in Central American tournaments, making it difficult to assess the likelihood of attendance at a Honduras open tournament in February/March 2026.",,
"Wang, Hao",8602883,GM,2687,,,CHN,1989,37,,,,,retired,regularly,global,yes,yes,Fischer Random Chess 960,yes,Has participated in cryptocurrency-related chess events,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Wang Hao has resumed active competitive play after returning from retirement in 2022, regularly participating in major international tournaments across multiple continents including the Americas (U.S. National Championships) and Middle East (Abu Dhabi Chess Festival). While he typically competes in elite invitational events rather than open tournaments, his global travel pattern and recent activity level suggest attendance at an open tournament in Honduras would be possible but less likely given his preference for higher-profile competitions. His participation would likely depend on the tournament's prestige level and prize fund rather than any scheduling or travel constraints.",,
"Sarana, Alexey",24133795,GM,2686,,,SRB,2000,26,,,,,active,regularly,unknown,unknown,yes,World Fischer Random Chess Championship 2022; King Salman World Rapid & Blitz Championship; grenke Freestyle Chess Open,no,No known connection to Bitcoin or cryptocurrency,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the search results, Alexey Sarana is an active grandmaster who regularly participates in open tournaments, having won the Aktobe Open Masters in 2025 and placed 5th in the grenke Freestyle Chess Open in April 2025. However, the search results provide no information about his historical travel patterns to the Americas or Central America specifically, making it difficult to assess his likelihood of traveling to Honduras. While his active tournament schedule suggests he seeks competitive opportunities, the lack of data on his geographic travel range and any previous participation in Latin American events makes predicting his attendance at a Honduran tournament speculative.",,
