Tier,Score,Name,Rating,Federation,Key Factors,AI Summary
"A",69,"Nepomniachtchi, Ian",2723,"RUS","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ₿ Won crypto prizes before; ✅ Regularly plays opens; 🌍 Global travel pattern","Based on the research, Ian Nepomniachtchi is an active top-level grandmaster (World #4) who primarily competes in elite invitational events like the Candidates Tournament and World Championships rather than open tournaments. While he travels globally for competitions and is scheduled to remain active through 2026, his tournament pattern focuses on high-level closed events, making attendance at an open tournament in Honduras unlikely unless it offered significant prize money or had special significance. His status as a two-time World Championship finalist suggests he would typically prioritize more prestigious invitational events over open competitions."
"A",69,"Kasimdzhanov, Rustam",2664,"UZB","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ✅ Regularly plays opens; 🌍 Global travel pattern; 🌎 Has played in Americas","Based on the search results, Rustam Kasimdzhanov is an active elite grandmaster who regularly participates in high-level tournaments including the U.S. National Championships, American Cup, and Champions Showdown events, demonstrating both an active tournament schedule and willingness to travel internationally including to the Americas. However, his tournament pattern appears focused on prestigious invitational events rather than open tournaments, and as a former World Champion rated 2664, he would likely prioritize elite competitions over open events. While theoretically possible given his active status and global travel history, his participation in an open tournament in Honduras would be unlikely unless it offered significant appearance fees or had special significance."
"A",68,"Leko, Peter",2676,"HUN","🎯 Has Chess960 experience; 🎯 Extensive Chess960 history; ₿ Has Bitcoin/crypto connection; ✅ Regularly plays opens; 🌍 Global travel pattern","Based on the search results, Peter Leko is an active grandmaster who regularly participates in FIDE events and international tournaments, as evidenced by his 2025 World Cup participation and upcoming events in Oslo and London. However, the search results show he typically plays in major organized events like Grand Chess Tour tournaments rather than general open tournaments, and there is no indication of previous activity in Central America or smaller regional opens. Given his apparent focus on high-level international circuit events and lack of known commitments or travel patterns to that region, his attendance at an open tournament in Honduras would be unlikely without specific invitation or compelling circumstances."
"A",67,"Vachier-Lagrave, Maxime",2734,"FRA","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ✅ Regularly plays opens; 🌍 Global travel pattern; 🌎 Has played in Americas","Based on the research, Maxime Vachier-Lagrave is an active French grandmaster (rated 2734) who regularly participates in international tournaments and has demonstrated global travel patterns, including recent participation in U.S. tournaments. However, as a top-tier elite player who ""consistently ranks among the world's elite,"" he typically competes in high-level international events, team leagues, and championship tournaments rather than open tournaments. While no specific 2026 conflicts were found, an open tournament in Honduras would be unusual for a player of his caliber, making attendance unlikely unless it offers significant prize money or special circumstances."
"A",67,"Duda, Jan-Krzysztof",2731,"POL","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ✅ Regularly plays opens; 🌍 Global travel pattern; 🌎 Has played in Americas","Based on the search results, Jan-Krzysztof Duda is currently an active grandmaster (rated 2731) who regularly participates in major international tournaments and has demonstrated willingness to travel globally, including to the Americas for events like the 2024 U.S. National Championships. However, the research indicates he has faced personal challenges in 2026 including thoughts of quitting chess, which could significantly impact his tournament participation. While he has the profile of a player who might consider international open tournaments, the mentioned personal struggles in 2026 create uncertainty about his actual attendance at any tournament during that period."
"A",67,"Mamedyarov, Shakhriyar",2730,"AZE","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ✅ Regularly plays opens; 🌍 Global travel pattern; 🌎 Has played in Americas","Based on the research, Shakhriyar Mamedyarov is an active top-10 grandmaster who regularly participates in international tournaments and has demonstrated global travel patterns, including events in the Americas. However, as an elite player currently ranked 8th in the world, he typically competes in high-level FIDE events, Grand Prix tournaments, and invitation-only competitions rather than open tournaments. While he has commitments to the German Bundesliga 2025/26, his specific availability for February/March 2026 is unknown, making his attendance at an open tournament in Honduras unlikely given his typical tournament profile."
"A",66,"Firouzja, Alireza",2759,"FRA","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ✅ Regularly plays opens; 🌍 Global travel pattern; 🌎 Has played in Americas","Based on the research, Firouzja is highly active in international chess tournaments, regularly competing in major events across different continents including the Americas (Saint Louis events), and maintains a busy schedule with recent victories in 2024-2025. However, his tournament pattern appears focused on elite invitational events like the Grand Chess Tour, Sinquefield Cup, and major rapid/blitz championships rather than open tournaments. While no specific 2026 schedule conflicts were found, his typical participation in high-level invitational events makes attendance at an open tournament in Honduras unlikely, despite his demonstrated willingness to travel globally for chess competitions."
"A",66,"Le, Quang Liem",2731,"VIE","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ₿ Won crypto prizes before; ✅ Regularly plays opens; 🌍 Global travel pattern","Based on the research, Le Quang Liem is an active grandmaster (rated 2731) who regularly competes in international tournaments, including recent victories at the 2025 León Masters and upcoming participation in the 2025 FIDE World Cup and Prague International Chess Festival. While the search results show he travels globally for high-level tournaments and Masters events, there is no specific information about his participation in open tournaments or any scheduling conflicts for February/March 2026. His active international competition schedule suggests he could potentially attend such an event, though his typical participation appears to focus on invitation-based Masters tournaments rather than open events."
"A",66,"Dubov, Daniil",2672,"RUS","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ✅ Regularly plays opens; 🌍 Global travel pattern; 📺 Content creator - event is good content","Based on the research, Daniil Dubov is an active grandmaster who regularly participates in international tournaments, including recent events in Asia (2024 Shenzhen Longgang) and is scheduled for the 2025 FIDE World Rapid & Blitz Championships and Freestyle Chess Grand Slam Tour, demonstrating a willingness to travel globally for chess events. However, his tournament pattern appears focused on elite-level competitions like FIDE World Championships and major tours rather than typical open tournaments. While there are no known scheduling conflicts for Feb/March 2026, his participation in a Honduran open tournament would be unusual given his current focus on high-level international events."
"A",66,"Mamedov, Rauf",2645,"AZE","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ₿ Won crypto prizes before; ✅ Regularly plays opens; 🌍 Global travel pattern","Based on the research, Rauf Mamedov is an active grandmaster who regularly participates in open tournaments including the FIDE Grand Swiss and European Individual Championship, with recent activity through 2025 showing continued competitive play. While he has demonstrated global travel patterns (competing in events like the Saudi eLeague) and no conflicts are identified for Feb/March 2026, there is no specific evidence of previous participation in Central American tournaments or Honduras specifically. His active status and willingness to travel internationally suggest attendance would be possible, though the lack of clear precedent for competing in that region makes it uncertain."
"A",65,"Giri, Anish",2760,"NED","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ₿ Won crypto prizes before; ✅ Regularly plays opens; 🌍 Global travel pattern","Based on the research, Anish Giri is an active top-level grandmaster (rated 2760, ranked 12th globally) who regularly competes in major international tournaments, including recent wins at the 2025 Sharjah Masters and FIDE Grand Swiss. However, his tournament pattern appears focused on elite invitation-only events rather than open tournaments, and there's no evidence of him participating in open competitions or traveling to Central America. Given his high rating and typical participation in prestigious closed tournaments, attendance at an open tournament in Honduras would be highly unlikely unless there were exceptional circumstances or significant appearance fees involved."
"A",65,"So, Wesley",2753,"USA","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ✅ Regularly plays opens; 🌍 Global travel pattern; 🌎 Has played in Americas","Based on the research, Wesley So is an active top-level professional player (rated 2753) who regularly competes in major international tournaments, including recent participation in the 2025 Sinquefield Cup and Chess Bundesliga 2024-25. However, his tournament activity appears focused on elite invitational events and major championships rather than open tournaments, and there is no evidence of him participating in smaller open events or traveling to Central America for competitions. Given his status as a world-class player who typically competes in high-profile tournaments, attendance at an open tournament in Honduras would be highly unlikely unless there were exceptional circumstances or significant appearance fees involved."
"A",63,"Kovalenko, Igor",2682,"UKR","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ₿ Won crypto prizes before; ✅ Regularly plays opens; 📺 Content creator - event is good content","Based on the search results, Igor Kovalenko appears to be an active tournament player who regularly participates in international open and classical tournaments, including recent 2025 events in Ukraine, Poland, and other European locations. However, his documented travel pattern shows primarily European tournament participation, with no evidence of playing in the Americas or Central America specifically. While he has the activity level and tournament participation history that could suggest openness to international events, there is no specific information about his 2026 schedule or previous travel to regions like Honduras to assess likelihood of attendance."
"A",63,"Grandelius, Nils",2660,"SWE","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ✅ Regularly plays opens; 🌍 Global travel pattern; 📺 Content creator - event is good content","Based on the search results, Nils Grandelius appears to be an active tournament player who regularly participates in major open events like the FIDE World Cup, FIDE Grand Swiss, and other international tournaments, indicating he travels globally for chess competitions. However, the search results show no scheduled tournaments for 2026 and provide no evidence of him previously playing in Central America or smaller regional opens outside of major FIDE events. While theoretically possible given his active status, there's insufficient information to assess the likelihood of him attending a specific open tournament in Honduras in February/March 2026."
"A",63,"Erdogmus, Yagiz Kaan",2658,"TUR","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ✅ Regularly plays opens; 🌍 Global travel pattern; 📺 Content creator - event is good content","Based on the research, Yagiz Kaan Erdogmus is highly active in competitive chess and regularly participates in major international tournaments across diverse global locations including Jeddah, Marseille, Goa, and the Netherlands. However, he appears to focus primarily on elite invitational events like the FIDE Grand Swiss, Tata Steel Chess, and European Championships rather than open tournaments, and he has a confirmed commitment to Tata Steel Masters 2026 which could create scheduling conflicts with February/March events. While his global travel pattern suggests geographical accessibility wouldn't be a barrier, the combination of his preference for high-level invitational tournaments and existing 2026 commitments makes attendance at an open tournament in Honduras relatively unlikely."
"A",61,"Abdusattorov, Nodirbek",2751,"UZB","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ✅ Regularly plays opens; 🌍 Global travel pattern; 🌎 Has played in Americas","Based on the research, Nodirbek Abdusattorov is highly active in international chess competitions and travels globally for tournaments, having recently competed in New York, London, and Prague. However, he appears to focus primarily on elite invitational events like Masters tournaments and World Championships rather than open tournaments. Additionally, he has a confirmed commitment at Tata Steel 2026, which typically occurs in January-February, potentially creating a scheduling conflict with a February/March tournament in Honduras."
"A",61,"Maghsoodloo, Parham",2708,"IRI","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ✅ Regularly plays opens; 🌍 Global travel pattern; 📺 Content creator - event is good content","Based on the research, Parham Maghsoodloo appears to be an active player who regularly participates in international open tournaments, having recently won the 2025 Reykjavik Open and competed in other global events. His travel patterns show willingness to compete internationally in diverse locations including Iceland and Tunisia, suggesting he has a global tournament range. However, there is no specific information about his 2026 schedule or any previous activity in Central America, making it difficult to assess the likelihood of attendance at a Honduras tournament without additional factors such as prize fund, field strength, or scheduling conflicts."
"A",61,"Vidit, Santosh Gujrathi",2708,"IND","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ✅ Regularly plays opens; 🌍 Global travel pattern; 📺 Content creator - event is good content","Based on the research, Vidit Gujrathi is an active grandmaster who regularly participates in major international tournaments, including recent victories at the Paris Freestyle (March 2025) and FIDE Grand Swiss (2025), demonstrating consistent global tournament activity. However, his typical tournament pattern appears focused on high-level events like the Candidates Tournament and prestigious opens rather than smaller regional tournaments. While he travels internationally for chess and remains active as of 2026, there are no specific scheduling conflicts identified, though an open tournament in Honduras would likely be outside his usual competitive tier."
"A",61,"Gelfand, Boris",2630,"ISR","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ✅ Regularly plays opens; 🌍 Global travel pattern; 📺 Content creator - event is good content","Based on the search results, Boris Gelfand remains an active grandmaster (rated 2630) who regularly participates in open tournaments, including the 2025 FIDE Grand Swiss, KazChess Masters, and ECC Open, indicating he frequently travels internationally for chess events. However, the search results show no evidence of him previously playing in Central America or similar smaller chess markets, and no known commitments for 2026 were found. While his active tournament schedule suggests he could potentially attend an open tournament in Honduras, his typical participation appears focused on higher-profile international events."
"A",60,"Martinez Alcantara, Jose Eduardo",2667,"MEX","🎯 Has Chess960 experience; ✅ Regularly plays opens; 🌍 Global travel pattern; 🌎 Has played in Americas; 📺 Content creator - event is good content","Based on the search results, José Eduardo Martínez Alcántara appears to be an active chess professional who regularly participates in international open tournaments, including events like the Alcantara Chess Challenge and Grand Chess Tour, with recent activity in 2025 tournaments. His travel patterns show he competes globally, including in Europe (Oslo, London), suggesting he is willing to travel internationally for tournaments. However, no specific information was found about his 2026 schedule or previous participation in Central American tournaments, making it difficult to assess the likelihood of attendance at a Honduras event without additional factors like invitation, prize fund, or rating requirements."
"A",59,"Rapport, Richard",2738,"HUN","₿ Has Bitcoin/crypto connection; ₿ Won crypto prizes before; ✅ Regularly plays opens; 🌍 Global travel pattern; 🌎 Has played in Americas","Based on the search results, Richard Rapport is currently an active grandmaster ranked fifth globally who regularly participates in major open tournaments including the 2024 U.S. National Championships and 2025 Aeroflot Open, demonstrating a pattern of international travel for chess events. However, his recent tournament activity focuses on high-level events like Grand Chess Tour tournaments and serving as a second in World Championship matches, suggesting he may prioritize elite-level competitions. While no 2026 schedule conflicts were found in the research, his typical tournament pattern appears to favor major international events rather than smaller regional opens."
"A",58,"Liang, Awonder",2713,"USA","₿ Has Bitcoin/crypto connection; ✅ Regularly plays opens; 🌍 Global travel pattern; 🌎 Has played in Americas; 📺 Content creator - event is good content","Based on the search results, Awonder Liang appears to be an active tournament player who regularly competes in various events including the U.S. Chess Championship and international tournaments like the Chennai Grand Masters 2025, demonstrating a willingness to travel globally for chess competitions. However, his tournament participation seems to focus primarily on higher-level events such as national championships and grand masters tournaments rather than typical open tournaments. Without specific information about his 2026 schedule or previous participation in Central American events, it's difficult to assess the likelihood of his attendance at an open tournament in Honduras, though his active status and international travel history suggest it's not impossible if the event offers appropriate conditions or incentives."
"A",58,"Howell, David W L",2668,"ENG","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ✅ Regularly plays opens; 📺 Content creator - event is good content; Solid GM (2650-2699) - likely interested","Based on the research, David W L Howell is an active grandmaster who regularly participates in open tournaments including the Bundesliga and British Championship, indicating he does play competitive events beyond elite invitationals. However, his documented travel appears primarily continental (Germany, UK) with no evidence of participation in Central American tournaments or similar remote locations. Given his active status and willingness to travel for tournaments, attendance at a Honduras open would be possible but relatively unlikely without additional incentives, as it would represent a significant departure from his typical European tournament circuit."
"A",58,"Pranav, V",2641,"IND","🎯 Has Chess960 experience; 🎯 Extensive Chess960 history; ₿ Has Bitcoin/crypto connection; ✅ Regularly plays opens; 🌍 Global travel pattern","Based on the research, Pranav V is a highly active player who regularly competes in international open tournaments and has demonstrated extensive global travel, including recent victories at the 2025 World Junior Championship in Montenegro and tournaments in Salamanca and Fujairah. However, he has a confirmed commitment to the 2026 FIDE Freestyle Chess World Championship Play-In, though the timing of this event relative to February/March 2026 is unclear. Given his pattern of participating in international opens and global tournament activity, attendance at a Honduras tournament would be consistent with his competitive profile, but the potential scheduling conflict with the Freestyle Chess commitment could be a limiting factor."
"A",56,"Dominguez Perez, Leinier",2738,"USA","🎯 Has Chess960 experience; ✅ Regularly plays opens; 🌍 Global travel pattern; 🌎 Has played in Americas; 📺 Content creator - event is good content","Based on the research, Leinier Dominguez Perez is an active top-level grandmaster (rated 2738) who regularly participates in major international tournaments including recent events in 2024-2025 such as the Chess Olympiad in Budapest and Grand Chess Tour events. However, his tournament pattern appears focused on elite invitational events rather than open tournaments, and there is no evidence in the search results of him playing in open format competitions or having any connection to Central American chess events. Given his high rating and status as a former World Blitz Champion, his participation in an open tournament in Honduras would be unlikely unless there were significant appearance fees or special circumstances not evident in the available information."
"A",56,"Mishra, Abhimanyu",2629,"USA","🎯 Has Chess960 experience; ✅ Regularly plays opens; 🌍 Global travel pattern; 🌎 Has played in Americas; 📺 Content creator - event is good content","Based on the research, Abhimanyu Mishra remains highly active in competitive chess as of 2026 and regularly participates in major tournaments including opens like the FIDE Grand Swiss and U.S. Championship. His travel patterns show global tournament participation, including events in Europe (Iceland, Switzerland) and the Americas, indicating willingness to travel internationally for chess competitions. However, no specific information was found about his 2026 schedule or any commitments that would conflict with a February/March tournament in Honduras."
"A",56,"Van Wely, Loek",2628,"NED","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ✅ Regularly plays opens; 📺 Content creator - event is good content","Based on the search results, Loek van Wely is currently an active grandmaster who regularly participates in tournaments including the German Bundesliga, European Team Championships, and various FIDE events through 2025. While he demonstrates consistent tournament activity and plays in both team and individual competitions, the search results show his recent participation primarily in European events with no clear evidence of travel to Central America or similar regions. Given his active status and tournament participation pattern, attendance would be possible but would likely depend on scheduling conflicts with his established European tournament commitments, for which no 2026 information was found."
"A",55,"Erigaisi Arjun",2775,"IND","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ✅ Regularly plays opens; 🌍 Global travel pattern; 📺 Content creator - event is good content","Based on the research, Erigaisi Arjun is an active grandmaster (rated 2775) who regularly participates in international tournaments, having won the 2024 WR Chess Masters Cup in London and medaled at the 2025 World Blitz Championships, indicating he travels globally for chess events. However, the available information suggests he primarily competes in high-level FIDE championships and elite tournaments rather than open tournaments, and there is no specific information about his 2026 schedule or previous participation in Central American events. While his active tournament schedule and international travel pattern suggest he could potentially attend, his apparent focus on elite-level events makes attendance at an open tournament in Honduras less likely without additional incentives or circumstances."
"A",55,"Sindarov, Javokhir",2726,"UZB","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ✅ Occasionally plays opens; 🌍 Global travel pattern; 📺 Content creator - event is good content","Based on the research, Sindarov is unlikely to attend an open tournament in Honduras in Feb/March 2026. He is committed to major elite events including the 2026 Candidates Tournament and Tata Steel Chess Tournament 2026, and his recent activity shows a preference for high-level competitions rather than open tournaments, having played only five tournaments in 2025 with a deliberately light schedule. As a top-rated player (2726) who recently won the 2025 World Cup, he appears focused on elite-level events rather than regional open tournaments."
"A",55,"Bluebaum, Matthias",2679,"GER","🎯 Has Chess960 experience; ₿ Has Bitcoin/crypto connection; ✅ Regularly plays opens; 📺 Content creator - event is good content; Solid GM (2650-2699) - likely interested","Based on the research, Matthias Bluebaum is an active grandmaster (rated 2679) who regularly plays in major tournaments and has shown strong recent activity, including qualifying for the Candidates Tournament in 2025. However, he is scheduled to debut in the prestigious Tata Steel Chess Masters 2026, which typically occurs in January-February and would likely conflict with a February/March tournament in Honduras. Given his high level and focus on elite events like the Grand Swiss and Candidates qualification, he would be unlikely to attend a smaller open tournament in Honduras during this period."
"A",54,"Harikrishna, Pentala",2679,"IND","🎯 Has Chess960 experience; ✅ Regularly plays opens; 🌍 Global travel pattern; 🌎 Has played in Americas; 📺 Content creator - event is good content","Based on the search results, Pentala Harikrishna is an active grandmaster (rated 2679) who regularly participates in international open tournaments including the Tata Steel Masters, U.S. National Championships, and has global travel patterns spanning from Europe to the Americas. However, he appears to focus on high-profile tournaments and has committed to the 2025/26 German Bundesliga, which could create scheduling conflicts with a February/March 2026 timeframe. While he has demonstrated willingness to travel internationally for tournaments, an open tournament in Honduras would be unusual given his typical participation in major championship-level events."
"A",54,"Christiansen, Johan-Sebastian",2656,"NOR","🎯 Has Chess960 experience; ✅ Regularly plays opens; 🌍 Global travel pattern; 🌎 Has played in Americas; 📺 Content creator - event is good content","Based on the search results, Johan-Sebastian Christiansen appears to be a good candidate for an open tournament in Honduras in Feb/March 2026. He regularly plays open tournaments (winning Mar del Plata Open in 2024), travels internationally for chess events, and remains active as of 2026 with no conflicting tournament commitments listed. As an active grandmaster who competes globally and has demonstrated willingness to travel to South America for open events, he would likely consider participating if invited."
"A",54,"Indjic, Aleksandar",2635,"SRB","₿ Has Bitcoin/crypto connection; ✅ Regularly plays opens; 🌍 Global travel pattern; 🌎 Has played in Americas; 📺 Content creator - event is good content","Based on the research, Aleksandar Indjic appears highly active in international tournaments, having won the 2024 European Championship, 2024 U.S. National Championship, and placed second in the 2025 Sharjah Masters, demonstrating he regularly travels globally for major events. However, his tournament pattern seems focused on high-profile championships and masters events rather than typical open tournaments. While he has no known scheduling conflicts for February/March 2026, an open tournament in Honduras would represent an unusual destination compared to his typical tournament circuit of major international venues."
"A",52,"Yu, Yangyi",2717,"CHN","🎯 Has Chess960 experience; ✅ Regularly plays opens; 🌍 Global travel pattern; 🌎 Has played in Americas; 📺 Content creator - event is good content","Based on the research, Yu Yangyi is an active grandmaster (rated 2717) who regularly participates in high-profile open tournaments globally, including recent events like the FIDE Grand Swiss and upcoming tournaments in the Americas such as the American Cup. Given his consistent tournament activity, willingness to travel internationally (including to locations like Sharjah and various American events), and pattern of competing in open tournaments, he would be a plausible candidate to attend an open tournament in Honduras in Feb/March 2026. However, no specific 2026 commitments were found that would definitively confirm or conflict with such participation."
"A",52,"Bjerre, Jonas Buhl",2628,"DEN","🎯 Has Chess960 experience; ✅ Regularly plays opens; 🌍 Global travel pattern; 🌎 Has played in Americas; 📺 Content creator - event is good content","Based on the research, Jonas Buhl Bjerre appears to be an active tournament player who regularly participates in open events, including international tournaments like the Reykjavik Open and recent competitions such as the 2025 FIDE World Championships and U.S. National Championships, demonstrating a willingness to travel globally for chess events. As an active grandmaster rated 2628 with a pattern of competing in diverse tournaments across different continents, he could potentially attend an open tournament in Honduras. However, no specific 2026 schedule information was found to confirm or rule out availability for February/March 2026."
"A",49,"Chigaev, Maksim",2628,"ESP","🎯 Has Chess960 experience; ✅ Regularly plays opens; 🌍 Global travel pattern; 📺 Content creator - event is good content","Based on the search results, Maksim Chigaev is an active grandmaster who regularly participates in various tournaments including opens, World Championships, and Grand Chess Tour events, with a history of international travel to locations like Oslo and London. However, there is no evidence in the search results of him having played in the Americas previously, and Honduras would represent an unusual tournament location compared to his typical European circuit. While his active status and willingness to travel internationally suggest attendance is possible, the lack of any known commitments or travel patterns to Central America makes his participation in a Honduras open tournament uncertain."
